time,seed,n,d,method,params,intercept,r2,perc_sig,l_perc,u_perc,gibbs_params_n_iters,burn-in,gibbs_params_em_warmup,vi_params_n_iters,vi_params_em_warmup,pip_tr,tau2_init,pi0_init,true_effects_count,VI_time,Gibbs_time,em_pi0_vi,em_pi0_gibbs,em_tau2_vi,em_tau2_gibbs,TP_vi,TN_vi,FP_vi,FN_vi,misatr_vars_count_vi,precision_vi,recall_vi,MCC_vi,TP_gibbs,TN_gibbs,FP_gibbs,FN_gibbs,misatr_vars_count_gibbs,precision_gibbs,recall_gibbs,MCC_gibbs
2026-08-04_11-02,32,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,100,0.1,29,7.1691,96.9909,0.0159391044631647,0.0469288072306185,323.88242462419214,118.0934813968466,8,471,0,21,0,1.0,0.276,0.514,3,471,0,26,0,1.0,0.103,0.313
2026-08-04_11-05,42,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,100,0.1,19,1.4552,95.3928,0.0187562564699655,0.0524083004362262,99.90732168868624,51.30727243138173,8,481,0,11,0,1.0,0.421,0.642,7,481,0,12,0,1.0,0.368,0.6
2026-08-04_11-08,52,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,100,0.1,31,4.9288,97.2447,0.0293595251680626,0.0689999754943199,169.6641782303521,88.3930343414579,11,467,2,20,3,0.846,0.355,0.531,7,469,0,24,0,1.0,0.226,0.463
2026-08-04_11-11,32,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,25,0.1,29,9.0196,97.6267,0.0159521104484122,0.0666899253096852,330.0217057905868,61.71958428862712,7,470,1,22,2,0.875,0.241,0.446,3,471,0,26,0,1.0,0.103,0.313
2026-08-04_11-15,42,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,25,0.1,19,6.8092,97.7066,0.0189201174642158,0.0641214893784546,85.95597648079685,38.19451565864995,8,481,0,11,0,1.0,0.421,0.642,7,481,0,12,0,1.0,0.368,0.6
2026-08-04_11-18,52,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,50,0.9,25,0.1,31,6.9311,97.1758,0.0312581933454732,0.0721991170502706,164.4142472065323,72.94633060787793,11,466,3,20,4,0.786,0.355,0.509,7,469,0,24,0,1.0,0.226,0.463
2026-08-04_11-25,32,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,25,0.1,29,8.5999,98.2149,0.0159391051685824,0.0666899253096852,323.9045447438432,61.71958428862712,8,471,0,21,0,1.0,0.276,0.514,3,471,0,26,0,1.0,0.103,0.313
2026-08-04_11-27,42,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,25,0.1,19,6.248,96.1369,0.0187226582471307,0.0641214893784546,85.58244119665008,38.19451565864995,8,481,0,11,0,1.0,0.421,0.642,7,481,0,12,0,1.0,0.368,0.6
2026-08-04_11-29,52,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,25,0.1,31,6.0793,97.4217,0.0312581953873613,0.0721991170502706,164.40367550521384,72.94633060787793,11,466,3,20,4,0.786,0.355,0.509,7,469,0,24,0,1.0,0.226,0.463
2026-08-04_11-34,32,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.1,29,0.3123,96.0105,0.0170169373554881,0.0469288072306185,88.11671796091566,118.0934813968466,8,471,0,21,0,1.0,0.276,0.514,3,471,0,26,0,1.0,0.103,0.313
2026-08-04_11-35,42,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.1,19,2.9832,97.9174,0.0187226536296412,0.0524083004362262,85.56572183742038,51.30727243138173,8,481,0,11,0,1.0,0.421,0.642,7,481,0,12,0,1.0,0.368,0.6
2026-08-04_11-37,52,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.1,31,4.9313,96.6279,0.0293595210359555,0.0689999754943199,169.6842962628544,88.3930343414579,11,467,2,20,3,0.846,0.355,0.531,7,469,0,24,0,1.0,0.226,0.463
2026-08-04_11-46,32,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.001,29,6.572,96.9018,0.015939097508146,0.0460775051215425,323.66449740738955,127.78804773823778,8,471,0,21,0,1.0,0.276,0.514,3,471,0,26,0,1.0,0.103,0.313
2026-08-04_11-47,42,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.001,19,2.7288,100.6016,0.0159933469458507,0.0460964219919383,94.79684694348302,55.13748188207085,8,481,0,11,0,1.0,0.421,0.642,7,481,0,12,0,1.0,0.368,0.6
2026-08-04_11-49,52,1000,500,corr_block,"{'k': 10, 'corr': 0.7}",False,0.3,0.05,20,80,1500,500,300,1000,0,0.9,100,0.001,31,5.0306,97.4283,0.025562496033385708,0.06585130723516379,184.66133707696906,96.70397389854762,11,468,1,20,1,0.917,0.355,0.556,7,469,0,24,0,1.0,0.226,0.463
