scenario,n_burn_in,n_post_burn_in,parameter,n_seeds,ess_threshold,overall_min_ess,median_of_min_ess,mean_q05_ess,mean_ess,n_below_min,n_below_max,n_below_median
1,500,1000,beta,10,400,221.80913621116957,293.47263381747695,718.110844425704,941.140519594933,1,2,1.0
1,500,1000,gamma,10,400,56.07310173309864,103.92653410856335,482.19173362713445,874.481641211465,6,9,7.0
1,500,1500,beta,10,400,343.85466657593344,407.24821107089963,1133.8437443291434,1420.6575263655147,0,1,0.0
1,500,1500,gamma,10,400,79.82970347956092,150.6169242559107,738.6188929593488,1290.4556939419126,4,5,4.0
3,500,1500,beta,10,400,188.77472903038074,292.45668078720064,967.729061082834,1359.3377392413684,2,7,5.0
3,500,1500,gamma,10,400,100.14102411259024,172.5969919901817,541.2113119090931,1119.9403677555201,16,25,22.0
3,500,2000,beta,10,400,215.41636872888407,379.56895911446765,1313.335547026494,1820.156507422767,0,2,1.0
3,500,2000,gamma,10,400,153.6455691821767,254.57576421906094,735.9987921916941,1496.0587368738309,3,9,7.0
2,1000,2000,beta,10,400,48.60310087635047,90.75025227059255,591.0121515428316,1650.4665289043367,31,36,33.5
2,1000,2000,gamma,10,400,26.83905919600333,50.35167723623087,175.9581349361154,611.0615048038205,208,220,218.0
2,1000,2500,beta,10,400,68.71386813353398,110.15624009080432,738.5878288013213,2063.9137190707347,24,29,25.5
2,1000,2500,gamma,10,400,40.26000498333857,61.61537429986556,220.12880126821597,760.1735735559474,137,154,147.0
2,500,2500,beta,10,400,72.06938739680766,114.86349487496256,743.5069787264339,2064.164435954373,24,29,27.0
2,500,2500,gamma,10,400,39.775174772204934,61.65989193951963,224.42941697545876,760.9576806167723,134,148,142.0
2,1000,2500,beta,10,400,68.71386813353398,110.15624009080432,738.5878288013213,2063.9137190707347,24,29,25.5
2,1000,2500,gamma,10,400,40.26000498333857,61.61537429986556,220.12880126821597,760.1735735559474,137,154,147.0
4,2000,3000,beta,10,400,7.967968050254474,10.273509781069276,2489.804914410146,2877.9852425241893,65,79,70.5
4,2000,3000,gamma,10,400,3.949208264199266,5.833028573694486,1236.4051236092832,2670.5754589565345,309,370,357.0
4,2000,4000,beta,10,400,9.050605449383815,15.148001282159116,3389.978649585223,3849.7445773767618,58,69,65.5
4,2000,4000,gamma,10,400,5.601000057336432,6.572427447148218,1604.972942951148,3529.104702513018,289,319,301.0
