scenario,seed,n_burn_in,n_post_burn_in,n_a,n_b,p_value,passed
2,81,1000,2500,250,1250,0.5824559008191512,True
2,100,1000,2500,250,1250,0.4875928967383003,True
2,43,1000,2500,250,1250,0.14178674072125608,True
2,34,1000,2500,250,1250,0.9100859440977984,True
2,11,1000,2500,250,1250,0.7137863757212337,True
2,23,1000,2500,250,1250,0.3320218715978345,True
2,205,1000,2500,250,1250,0.49498522209869056,True
2,56,1000,2500,250,1250,0.06250908265243416,True
2,32,1000,2500,250,1250,0.6872757671199445,True
2,22,1000,2500,250,1250,0.4225451129748541,True
