scenario,n_burn_in,n_post_burn_in,seed,parameter,n_samples,n_coords,ess_min,ess_q05,ess_median,ess_mean,ess_rel_median,n_below_threshold
3,500,2000,56,beta,2000,1001,348.72792030533464,1296.0150825538801,1888.5243487092084,1821.2003193756218,0.9442621743546042,1
3,500,2000,32,beta,2000,1001,351.9481550450357,1317.755130921242,1869.6784301111538,1812.477199582149,0.9348392150555769,1
3,500,2000,205,beta,2000,1001,374.6937907219452,1284.8854433828114,1887.6713948989059,1819.1553950441419,0.943835697449453,1
3,500,2000,22,beta,2000,1001,402.55708695199036,1346.40881259016,1891.001918084663,1826.4752963322167,0.9455009590423314,0
3,500,2000,100,beta,2000,1001,429.03134559105524,1305.8038385749928,1886.0550363491368,1818.5269312870034,0.9430275181745684,0
3,500,2000,34,beta,2000,1001,485.40713832215783,1303.9639875804128,1897.8387076929982,1828.3189002091724,0.9489193538464992,0
3,500,2000,43,beta,2000,1001,369.3599742272531,1287.7333073701031,1890.1621066839396,1823.3638319520517,0.9450810533419698,1
3,500,2000,81,beta,2000,1001,384.44412750699007,1306.823457713665,1877.05030896602,1810.4292148637858,0.9385251544830101,1
3,500,2000,11,beta,2000,1001,215.41636872888407,1321.1028498946218,1883.9879800667563,1818.5998356493058,0.9419939900333781,2
3,500,2000,23,beta,2000,1001,436.0244607307908,1362.86355968305,1885.8825811257354,1823.0181499322186,0.9429412905628677,0
3,500,2000,56,gamma,2000,998,209.58576016743245,729.1829086843699,1604.02643134966,1497.3643604454057,0.80201321567483,3
3,500,2000,32,gamma,2000,998,227.09432075564277,772.6804276066334,1596.6842415292106,1499.3363853131334,0.7983421207646053,7
3,500,2000,205,gamma,2000,999,310.94778500181724,731.6935960094902,1604.6924134359065,1497.2570477090906,0.8023462067179532,9
3,500,2000,22,gamma,2000,998,261.12213431630784,697.128122651158,1596.099507618776,1490.3118925182605,0.798049753809388,7
3,500,2000,100,gamma,2000,999,214.21579935759002,736.6064244649293,1588.7642755446325,1492.6559836414865,0.7943821377723163,7
3,500,2000,34,gamma,2000,1000,323.37598780728644,721.1839904337307,1595.3530010040834,1501.4476610419135,0.7976765005020416,7
3,500,2000,43,gamma,2000,999,312.0420045093428,731.4970403027637,1579.0734371082826,1493.0501571840098,0.7895367185541413,6
3,500,2000,81,gamma,2000,998,248.02939412181405,748.5689125456358,1605.8138506284713,1494.5362348662118,0.8029069253142357,5
3,500,2000,11,gamma,2000,998,153.6455691821767,753.7471720495462,1595.9347687364902,1497.2000489411769,0.7979673843682451,9
3,500,2000,23,gamma,2000,998,331.3099758145536,737.6993271686841,1591.2180092631488,1497.4220210994154,0.7956090046315744,4
