scenario,n_burn_in,n_post_burn_in,seed,samples_per_chain,sigma_post_mean,sigma_psrf,beta_psrf_min,beta_psrf_max,beta_psrf_median,beta_n_undefined,gamma_psrf_min,gamma_psrf_max,gamma_psrf_median,gamma_n_undefined
2,1000,2000,81,2000,0.4573826996127774,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,100,2000,0.45539975056641946,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,43,2000,0.45612005509376524,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,34,2000,0.4568312937607682,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,11,2000,0.4540272355808575,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,23,2000,0.45511631569766514,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,205,2000,0.45232903299154226,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,56,2000,0.4553249694458002,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,32,2000,0.45600829991946773,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2000,22,2000,0.45533396976211893,1.0018900368814612,0.9997597618303365,1.0062832137963351,1.0000209811892167,0,0.9998542797647455,1.010644228913951,1.0005322249656687,0
2,1000,2500,81,2500,0.4566354615148464,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,100,2500,0.45445730291873715,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,43,2500,0.45582691446159723,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,34,2500,0.4566025372285527,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,11,2500,0.4545338230843909,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,23,2500,0.4549828058032036,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
2,1000,2500,205,2500,0.4528082188172377,1.001157112597961,0.9998161792110134,1.0050768782642405,1.0000135102260637,0,0.9998673394670035,1.0088232401500619,1.0004432256546212,0
