scenario,seed,n_burn_in,n_post_burn_in,n_a,n_b,p_value,passed
4,56,2000,4000,400,2000,0.04853948032349975,False
4,32,2000,4000,400,2000,0.30467734643817623,True
4,100,2000,4000,400,2000,0.5510662247836187,True
4,22,2000,4000,400,2000,0.26663665404504533,True
4,81,2000,4000,400,2000,0.4354902306163053,True
4,43,2000,4000,400,2000,0.04696895398802403,False
4,34,2000,4000,400,2000,0.1403842814165832,True
4,205,2000,4000,400,2000,0.20769669957867354,True
4,23,2000,4000,400,2000,0.13609650047984023,True
4,11,2000,4000,400,2000,0.0245536053002946,False
