scenario,n_burn_in,n_post_burn_in,seed_1,seed_2,selection_threshold,n_selected_1,n_selected_2,n_shared,n_union,jaccard
3,500,1500,56,32,0.5,16,16,16,16,1.0
3,500,1500,56,205,0.5,16,15,15,16,0.9375
3,500,1500,56,22,0.5,16,15,15,16,0.9375
3,500,1500,56,100,0.5,16,16,16,16,1.0
3,500,1500,56,34,0.5,16,16,16,16,1.0
3,500,1500,56,43,0.5,16,16,16,16,1.0
3,500,1500,56,81,0.5,16,15,15,16,0.9375
3,500,1500,56,11,0.5,16,16,16,16,1.0
3,500,1500,56,23,0.5,16,15,15,16,0.9375
3,500,1500,32,205,0.5,16,15,15,16,0.9375
3,500,1500,32,22,0.5,16,15,15,16,0.9375
3,500,1500,32,100,0.5,16,16,16,16,1.0
3,500,1500,32,34,0.5,16,16,16,16,1.0
3,500,1500,32,43,0.5,16,16,16,16,1.0
3,500,1500,32,81,0.5,16,15,15,16,0.9375
3,500,1500,32,11,0.5,16,16,16,16,1.0
3,500,1500,32,23,0.5,16,15,15,16,0.9375
3,500,1500,205,22,0.5,15,15,14,16,0.875
3,500,1500,205,100,0.5,15,16,15,16,0.9375
3,500,1500,205,34,0.5,15,16,15,16,0.9375
3,500,1500,205,43,0.5,15,16,15,16,0.9375
3,500,1500,205,81,0.5,15,15,14,16,0.875
3,500,1500,205,11,0.5,15,16,15,16,0.9375
3,500,1500,205,23,0.5,15,15,15,15,1.0
3,500,1500,22,100,0.5,15,16,15,16,0.9375
3,500,1500,22,34,0.5,15,16,15,16,0.9375
3,500,1500,22,43,0.5,15,16,15,16,0.9375
3,500,1500,22,81,0.5,15,15,15,15,1.0
3,500,1500,22,11,0.5,15,16,15,16,0.9375
3,500,1500,22,23,0.5,15,15,14,16,0.875
3,500,1500,100,34,0.5,16,16,16,16,1.0
3,500,1500,100,43,0.5,16,16,16,16,1.0
3,500,1500,100,81,0.5,16,15,15,16,0.9375
3,500,1500,100,11,0.5,16,16,16,16,1.0
3,500,1500,100,23,0.5,16,15,15,16,0.9375
3,500,1500,34,43,0.5,16,16,16,16,1.0
3,500,1500,34,81,0.5,16,15,15,16,0.9375
3,500,1500,34,11,0.5,16,16,16,16,1.0
3,500,1500,34,23,0.5,16,15,15,16,0.9375
3,500,1500,43,81,0.5,16,15,15,16,0.9375
3,500,1500,43,11,0.5,16,16,16,16,1.0
3,500,1500,43,23,0.5,16,15,15,16,0.9375
3,500,1500,81,11,0.5,15,16,15,16,0.9375
3,500,1500,81,23,0.5,15,15,14,16,0.875
3,500,1500,11,23,0.5,16,15,15,16,0.9375
3,500,2000,56,32,0.5,15,16,15,16,0.9375
3,500,2000,56,205,0.5,15,15,14,16,0.875
3,500,2000,56,22,0.5,15,15,14,16,0.875
3,500,2000,56,100,0.5,15,16,15,16,0.9375
3,500,2000,56,34,0.5,15,16,15,16,0.9375
3,500,2000,56,43,0.5,15,16,15,16,0.9375
3,500,2000,56,81,0.5,15,15,14,16,0.875
3,500,2000,56,11,0.5,15,15,15,15,1.0
3,500,2000,56,23,0.5,15,15,15,15,1.0
3,500,2000,32,205,0.5,16,15,15,16,0.9375
3,500,2000,32,22,0.5,16,15,15,16,0.9375
3,500,2000,32,100,0.5,16,16,16,16,1.0
3,500,2000,32,34,0.5,16,16,16,16,1.0
3,500,2000,32,43,0.5,16,16,16,16,1.0
3,500,2000,32,81,0.5,16,15,15,16,0.9375
3,500,2000,32,11,0.5,16,15,15,16,0.9375
3,500,2000,32,23,0.5,16,15,15,16,0.9375
3,500,2000,205,22,0.5,15,15,15,15,1.0
3,500,2000,205,100,0.5,15,16,15,16,0.9375
3,500,2000,205,34,0.5,15,16,15,16,0.9375
3,500,2000,205,43,0.5,15,16,15,16,0.9375
3,500,2000,205,81,0.5,15,15,15,15,1.0
3,500,2000,205,11,0.5,15,15,14,16,0.875
3,500,2000,205,23,0.5,15,15,14,16,0.875
3,500,2000,22,100,0.5,15,16,15,16,0.9375
3,500,2000,22,34,0.5,15,16,15,16,0.9375
3,500,2000,22,43,0.5,15,16,15,16,0.9375
3,500,2000,22,81,0.5,15,15,15,15,1.0
3,500,2000,22,11,0.5,15,15,14,16,0.875
3,500,2000,22,23,0.5,15,15,14,16,0.875
3,500,2000,100,34,0.5,16,16,16,16,1.0
3,500,2000,100,43,0.5,16,16,16,16,1.0
3,500,2000,100,81,0.5,16,15,15,16,0.9375
3,500,2000,100,11,0.5,16,15,15,16,0.9375
3,500,2000,100,23,0.5,16,15,15,16,0.9375
3,500,2000,34,43,0.5,16,16,16,16,1.0
3,500,2000,34,81,0.5,16,15,15,16,0.9375
3,500,2000,34,11,0.5,16,15,15,16,0.9375
3,500,2000,34,23,0.5,16,15,15,16,0.9375
3,500,2000,43,81,0.5,16,15,15,16,0.9375
3,500,2000,43,11,0.5,16,15,15,16,0.9375
3,500,2000,43,23,0.5,16,15,15,16,0.9375
3,500,2000,81,11,0.5,15,15,14,16,0.875
3,500,2000,81,23,0.5,15,15,14,16,0.875
3,500,2000,11,23,0.5,15,15,15,15,1.0
