scenario,n_burn_in,n_post_burn_in,n_chains,n_variables,n_pairs,selection_threshold,jaccard_min,jaccard_max,jaccard_median,n_selected_min,n_selected_max,n_selected_median
1,500,1000,10,201,45,0.5,0.8333333333333334,1.0,1.0,5,6,5.0
1,500,1500,10,201,45,0.5,1.0,1.0,1.0,5,5,5.0
3,500,1500,10,1001,45,0.5,0.875,1.0,0.9375,15,16,16.0
3,500,2000,10,1001,45,0.5,0.875,1.0,0.9375,15,16,15.0
2,1000,2000,10,1001,45,0.5,0.625,0.9285714285714286,0.75,11,14,13.0
2,1000,2500,10,1001,45,0.5,0.6875,1.0,0.8461538461538461,11,14,12.0
2,500,2500,10,1001,45,0.5,0.7142857142857143,1.0,0.8461538461538461,10,14,12.0
2,1000,2500,10,1001,45,0.5,0.6875,1.0,0.8461538461538461,11,14,12.0
4,2000,3000,10,20001,45,0.5,0.6744186046511628,0.9230769230769231,0.8205128205128205,33,38,36.5
4,2000,4000,10,20001,45,0.5,0.775,0.972972972972973,0.8717948717948718,34,38,36.5
4,2000,4000,10,20001,45,0.5,0.775,0.972972972972973,0.8717948717948718,34,38,36.5
